comp_id,employee_id,effective_date,monthly_income,salary_hike_pct,stock_option_level
7,1,2018-12-09,3645,6.0,0
6,1,2019-12-09,3827,5.0,0
5,1,2020-12-08,4133,8.0,0
4,1,2021-12-09,4423,7.0,0
3,1,2022-12-09,4953,12.0,0
2,1,2023-12-09,5399,9.0,0
1,1,2024-12-08,5993,11.0,0
14,2,2020-01-01,1608,17.0,0
13,2,2020-12-31,1946,21.0,0
12,2,2021-12-31,2355,21.0,0
11,2,2023-01-01,2802,19.0,1
10,2,2024-01-01,3447,23.0,1
9,2,2024-12-31,4171,21.0,1
8,2,2025-12-31,5130,23.0,1
15,4,2024-11-26,2090,15.0,0
22,5,2020-01-01,1739,9.0,0
21,5,2020-12-31,1965,13.0,0
20,5,2021-12-31,2063,5.0,0
19,5,2023-01-01,2249,9.0,0
18,5,2024-01-01,2496,11.0,0
17,5,2024-12-31,2621,5.0,0
16,5,2025-12-31,2909,11.0,0
25,7,2024-01-01,2716,6.0,0
24,7,2024-12-31,3096,14.0,0
23,7,2025-12-31,3468,12.0,1
32,8,2020-01-01,1643,12.0,0
31,8,2020-12-31,1807,10.0,0
30,8,2021-12-31,1970,9.0,0
29,8,2023-01-01,2246,14.0,0
28,8,2024-01-01,2403,7.0,0
27,8,2024-12-31,2715,13.0,0
26,8,2025-12-31,3068,13.0,0
34,10,2024-12-31,2225,15.0,2
33,10,2025-12-31,2670,20.0,3
36,11,2024-12-31,2207,26.0,1
35,11,2025-12-31,2693,22.0,1
43,12,2020-01-01,3334,23.0,0
42,12,2020-12-31,4101,23.0,0
41,12,2021-12-31,5044,23.0,0
40,12,2023-01-01,5801,15.0,0
39,12,2024-01-01,6729,16.0,0
38,12,2024-12-31,7873,17.0,0
37,12,2025-12-31,9526,21.0,0
50,13,2020-01-01,2543,13.0,0
49,13,2020-12-31,2797,10.0,0
48,13,2021-12-31,3133,12.0,0
47,13,2023-01-01,3415,9.0,0
46,13,2024-01-01,3995,17.0,0
45,13,2024-12-31,4635,16.0,1
44,13,2025-12-31,5237,13.0,2
56,14,2020-12-31,1427,11.0,0
55,14,2021-12-31,1613,13.0,0
54,14,2023-01-01,1774,10.0,0
53,14,2024-01-01,1952,10.0,0
52,14,2024-12-31,2147,10.0,0
