review_id,employee_id,review_date,performance_rating,job_satisfaction,environment_satisfaction,work_life_balance,overtime_flag,manager_id
6,1,2019-11-19,3,3,3,2,Yes,2056.0
5,1,2020-12-01,3,4,1,2,Yes,2056.0
4,1,2021-12-08,3,3,3,1,No,2056.0
3,1,2022-11-22,3,4,3,1,No,2056.0
2,1,2023-12-08,3,4,1,1,No,2056.0
1,1,2024-11-22,3,4,2,1,Yes,2056.0
12,2,2020-12-15,4,3,4,3,Yes,638.0
11,2,2021-12-18,3,2,4,2,No,638.0
10,2,2022-12-12,3,2,4,2,No,638.0
9,2,2023-12-21,4,2,4,4,Yes,638.0
8,2,2024-12-20,4,3,2,2,No,638.0
7,2,2025-12-14,4,2,3,3,No,638.0
13,4,2024-11-21,3,3,4,3,Yes,1837.0
19,5,2020-12-16,3,2,4,2,Yes,730.0
18,5,2021-12-17,3,4,4,2,No,730.0
17,5,2022-12-14,3,4,3,3,No,730.0
16,5,2023-12-24,3,3,4,2,Yes,730.0
15,5,2024-12-30,3,4,4,3,No,730.0
14,5,2025-12-21,3,3,4,3,Yes,730.0
22,7,2023-12-14,3,2,1,2,No,1523.0
21,7,2024-12-30,3,2,1,3,No,1523.0
20,7,2025-12-18,3,2,1,3,No,1523.0
28,8,2020-12-26,3,3,3,2,No,901.0
27,8,2021-12-26,3,4,4,1,No,901.0
26,8,2022-12-21,3,3,4,2,No,901.0
25,8,2023-12-26,3,4,4,3,No,901.0
24,8,2024-12-31,3,4,3,3,No,901.0
23,8,2025-12-25,3,4,4,2,No,901.0
30,10,2024-12-22,3,1,4,1,No,1608.0
29,10,2025-12-17,4,1,3,2,Yes,1608.0
32,11,2024-12-20,4,2,4,3,Yes,1317.0
31,11,2025-12-21,4,3,4,3,No,1317.0
38,12,2020-12-19,3,4,4,2,No,1367.0
37,12,2021-12-20,4,2,4,3,No,1367.0
36,12,2022-12-20,4,3,3,4,No,1367.0
35,12,2023-12-22,3,3,3,3,No,1367.0
34,12,2024-12-27,3,2,3,3,No,1367.0
33,12,2025-12-30,4,3,4,3,No,1367.0
44,13,2020-12-13,3,4,4,2,No,119.0
43,13,2021-12-30,3,3,3,2,No,119.0
42,13,2022-12-19,3,4,2,2,No,119.0
41,13,2023-12-16,3,2,3,3,No,119.0
40,13,2024-12-29,3,2,3,1,No,119.0
39,13,2025-12-15,3,3,3,2,No,119.0
50,14,2020-12-17,3,1,1,4,No,1250.0
49,14,2021-12-18,3,2,2,3,No,1250.0
48,14,2022-12-14,3,1,2,2,No,1250.0
47,14,2023-12-19,3,2,1,2,No,1250.0
46,14,2024-12-25,3,1,1,2,No,1250.0
45,14,2025-12-26,3,2,1,3,No,1250.0
56,15,2020-12-12,3,3,4,2,Yes,1608.0
55,15,2021-12-31,3,2,4,4,Yes,1608.0
54,15,2022-12-20,3,2,4,4,No,1608.0
53,15,2023-12-13,3,2,4,4,No,1608.0
52,15,2024-12-14,3,3,3,3,No,1608.0
51,15,2025-12-17,3,3,4,3,Yes,1608.0
62,16,2020-12-28,3,2,1,3,No,815.0
61,16,2021-12-23,3,4,2,1,No,815.0
60,16,2022-12-16,3,4,2,2,No,815.0
59,16,2023-12-21,3,4,2,2,No,815.0
58,16,2024-12-15,3,3,1,2,No,815.0
57,16,2025-12-16,3,3,1,2,No,815.0
65,18,2023-12-24,3,4,3,2,Yes,1422.0
64,18,2024-12-27,3,4,1,4,No,1422.0
63,18,2025-12-15,3,4,2,3,No,1422.0
70,19,2021-01-25,3,3,2,3,Yes,575.0
69,19,2022-01-12,3,4,3,4,Yes,575.0
68,19,2023-01-25,3,3,2,2,Yes,575.0
67,19,2024-01-23,3,3,4,2,Yes,575.0
66,19,2025-01-18,3,3,3,3,Yes,575.0
76,20,2020-12-22,3,2,1,2,No,1005.0
75,20,2021-12-17,3,1,2,4,No,1005.0
74,20,2022-12-15,3,1,3,4,No,1005.0
73,20,2023-12-23,3,1,1,3,No,1005.0
72,20,2024-12-22,3,1,3,4,No,1005.0
71,20,2025-12-16,3,1,2,3,No,1005.0
82,21,2020-12-27,3,3,1,1,Yes,901.0
81,21,2021-12-20,3,3,1,2,Yes,901.0
80,21,2022-12-28,3,3,1,1,Yes,901.0
79,21,2023-12-30,3,3,2,2,No,901.0
78,21,2024-12-28,3,2,2,3,Yes,901.0
77,21,2025-12-24,3,2,1,2,Yes,901.0
84,22,2024-12-19,3,3,4,3,Yes,468.0
83,22,2025-12-24,3,4,4,2,Yes,468.0
90,23,2020-12-21,3,4,1,3,No,374.0
89,23,2021-12-31,3,4,1,3,No,374.0
88,23,2022-12-19,3,4,1,2,No,374.0
87,23,2023-12-12,3,4,1,3,No,374.0
86,23,2024-12-28,3,4,1,2,No,374.0
85,23,2025-12-11,3,4,1,3,No,374.0
94,24,2022-12-21,3,3,4,2,Yes,1128.0
93,24,2023-12-13,3,4,4,4,No,1128.0
92,24,2024-12-13,3,3,4,4,Yes,1128.0
91,24,2025-12-25,3,4,4,3,Yes,1128.0
99,26,2021-12-17,3,2,1,1,No,1360.0
98,26,2022-12-17,3,3,1,3,No,1360.0
97,26,2023-12-30,3,4,1,3,No,1360.0
96,26,2024-12-22,3,3,1,3,No,1360.0
95,26,2025-12-27,3,3,1,2,No,1360.0
