employee_id,scored_date,risk_score,risk_tier,model_name
2,2025-12-31,0.17327,Low,logistic_regression
5,2025-12-31,0.58607,Medium,logistic_regression
7,2025-12-31,0.64306,Medium,logistic_regression
8,2025-12-31,0.43039,Low,logistic_regression
10,2025-12-31,0.76172,High,logistic_regression
11,2025-12-31,0.43686,Low,logistic_regression
12,2025-12-31,0.23491,Low,logistic_regression
13,2025-12-31,0.17178,Low,logistic_regression
14,2025-12-31,0.61746,Medium,logistic_regression
15,2025-12-31,0.68425,High,logistic_regression
16,2025-12-31,0.42847,Low,logistic_regression
18,2025-12-31,0.38009,Low,logistic_regression
20,2025-12-31,0.21156,Low,logistic_regression
21,2025-12-31,0.68819,High,logistic_regression
22,2025-12-31,0.5819,Medium,logistic_regression
23,2025-12-31,0.09013,Low,logistic_regression
24,2025-12-31,0.54276,Medium,logistic_regression
26,2025-12-31,0.09885,Low,logistic_regression
28,2025-12-31,0.22087,Low,logistic_regression
30,2025-12-31,0.69954,High,logistic_regression
32,2025-12-31,0.02789,Low,logistic_regression
35,2025-12-31,0.25666,Low,logistic_regression
36,2025-12-31,0.13402,Low,logistic_regression
38,2025-12-31,0.2054,Low,logistic_regression
39,2025-12-31,0.63757,Medium,logistic_regression
40,2025-12-31,0.24993,Low,logistic_regression
41,2025-12-31,0.40316,Low,logistic_regression
46,2025-12-31,0.05074,Low,logistic_regression
49,2025-12-31,0.29677,Low,logistic_regression
51,2025-12-31,0.72009,High,logistic_regression
52,2025-12-31,0.32035,Low,logistic_regression
53,2025-12-31,0.24399,Low,logistic_regression
54,2025-12-31,0.33853,Low,logistic_regression
56,2025-12-31,0.48908,Medium,logistic_regression
57,2025-12-31,0.29583,Low,logistic_regression
60,2025-12-31,0.38532,Low,logistic_regression
61,2025-12-31,0.5127,Medium,logistic_regression
62,2025-12-31,0.82213,High,logistic_regression
63,2025-12-31,0.28007,Low,logistic_regression
68,2025-12-31,0.58534,Medium,logistic_regression
70,2025-12-31,0.30696,Low,logistic_regression
72,2025-12-31,0.72596,High,logistic_regression
73,2025-12-31,0.527,Medium,logistic_regression
74,2025-12-31,0.61424,Medium,logistic_regression
75,2025-12-31,0.87319,High,logistic_regression
76,2025-12-31,0.10271,Low,logistic_regression
77,2025-12-31,0.07634,Low,logistic_regression
78,2025-12-31,0.43471,Low,logistic_regression
79,2025-12-31,0.49233,Medium,logistic_regression
80,2025-12-31,0.39663,Low,logistic_regression
81,2025-12-31,0.88258,High,logistic_regression
83,2025-12-31,0.0365,Low,logistic_regression
84,2025-12-31,0.05201,Low,logistic_regression
85,2025-12-31,0.5508,Medium,logistic_regression
86,2025-12-31,0.16156,Low,logistic_regression
88,2025-12-31,0.61301,Medium,logistic_regression
91,2025-12-31,0.68685,High,logistic_regression
94,2025-12-31,0.15977,Low,logistic_regression
95,2025-12-31,0.48324,Medium,logistic_regression
96,2025-12-31,0.16312,Low,logistic_regression
97,2025-12-31,0.45809,Medium,logistic_regression
98,2025-12-31,0.10872,Low,logistic_regression
100,2025-12-31,0.57248,Medium,logistic_regression
101,2025-12-31,0.54275,Medium,logistic_regression
102,2025-12-31,0.14755,Low,logistic_regression
103,2025-12-31,0.60449,Medium,logistic_regression
104,2025-12-31,0.42352,Low,logistic_regression
105,2025-12-31,0.31245,Low,logistic_regression
106,2025-12-31,0.30604,Low,logistic_regression
107,2025-12-31,0.17591,Low,logistic_regression
110,2025-12-31,0.24236,Low,logistic_regression
112,2025-12-31,0.14723,Low,logistic_regression
113,2025-12-31,0.76543,High,logistic_regression
116,2025-12-31,0.07276,Low,logistic_regression
117,2025-12-31,0.04437,Low,logistic_regression
