event_id,employee_id,termination_date,attrition_flag,voluntary_flag
1,1,2024-12-08,1,1
2,4,2024-11-26,1,1
3,19,2025-01-31,1,1
4,27,2025-08-19,1,0
5,31,2024-04-18,1,1
6,33,2024-07-03,1,0
7,42,2025-08-14,1,1
8,45,2024-02-20,1,1
9,47,2025-12-15,1,1
10,55,2025-04-11,1,0
11,58,2025-07-29,1,0
12,64,2024-11-19,1,1
13,65,2025-04-06,1,1
14,90,2025-08-31,1,0
15,118,2025-04-08,1,1
16,133,2025-04-22,1,1
17,137,2025-02-03,1,1
18,142,2025-10-21,1,1
19,147,2025-03-08,1,0
20,161,2024-07-20,1,1
21,163,2024-01-24,1,1
22,165,2024-06-08,1,1
23,167,2024-05-04,1,0
24,175,2024-06-25,1,1
25,179,2025-09-11,1,1
26,190,2024-04-24,1,1
27,235,2024-09-09,1,1
28,243,2024-04-04,1,1
29,248,2024-10-30,1,1
30,261,2025-07-06,1,1
31,282,2025-02-03,1,1
32,283,2024-04-28,1,1
33,291,2025-05-17,1,1
34,297,2025-01-17,1,1
35,299,2025-08-04,1,1
36,300,2025-11-10,1,1
37,315,2025-11-12,1,1
38,325,2025-08-19,1,0
39,328,2024-01-31,1,1
40,331,2024-05-23,1,1
41,342,2025-04-02,1,1
42,355,2024-05-20,1,0
43,364,2024-03-28,1,1
44,376,2024-07-26,1,1
45,392,2025-05-22,1,0
46,394,2024-07-04,1,0
47,401,2025-10-21,1,0
48,405,2025-10-22,1,1
49,433,2024-01-17,1,0
50,440,2024-07-10,1,1
51,445,2025-12-10,1,0
52,454,2025-07-11,1,1
53,478,2024-10-04,1,0
54,485,2024-03-21,1,1
55,488,2024-02-27,1,1
56,492,2025-11-11,1,1
57,494,2025-09-09,1,1
58,502,2024-07-20,1,0
59,510,2025-11-01,1,1
60,514,2025-04-22,1,1
61,538,2025-05-12,1,1
62,554,2024-07-16,1,0
63,555,2024-06-07,1,1
64,565,2024-10-14,1,0
65,566,2025-07-15,1,1
66,582,2024-05-25,1,1
67,584,2024-08-25,1,0
68,587,2024-08-15,1,0
69,590,2024-12-27,1,1
70,593,2024-07-14,1,1
71,608,2025-01-17,1,1
72,614,2025-11-16,1,0
73,622,2024-07-14,1,1
74,631,2025-04-29,1,0
75,647,2025-04-04,1,1
76,648,2024-04-17,1,1
77,650,2025-01-16,1,1
78,667,2024-06-24,1,1
79,684,2024-12-20,1,1
80,701,2025-02-06,1,1
81,702,2025-12-24,1,1
82,720,2025-03-06,1,1
83,723,2025-05-29,1,1
84,741,2025-04-18,1,1
