employee_id,scored_date,risk_score,risk_tier,model_name
2,2025-12-31,0.17251,Low,logistic_regression
5,2025-12-31,0.5853,Medium,logistic_regression
7,2025-12-31,0.64371,Medium,logistic_regression
8,2025-12-31,0.42998,Low,logistic_regression
10,2025-12-31,0.76107,High,logistic_regression
11,2025-12-31,0.43658,Low,logistic_regression
12,2025-12-31,0.23375,Low,logistic_regression
13,2025-12-31,0.17211,Low,logistic_regression
14,2025-12-31,0.61843,Medium,logistic_regression
15,2025-12-31,0.68411,High,logistic_regression
16,2025-12-31,0.42818,Low,logistic_regression
18,2025-12-31,0.3804,Low,logistic_regression
20,2025-12-31,0.21137,Low,logistic_regression
21,2025-12-31,0.68758,High,logistic_regression
22,2025-12-31,0.58185,Medium,logistic_regression
23,2025-12-31,0.09063,Low,logistic_regression
24,2025-12-31,0.54234,Medium,logistic_regression
26,2025-12-31,0.09868,Low,logistic_regression
28,2025-12-31,0.22104,Low,logistic_regression
30,2025-12-31,0.69991,High,logistic_regression
32,2025-12-31,0.02793,Low,logistic_regression
35,2025-12-31,0.25683,Low,logistic_regression
36,2025-12-31,0.13432,Low,logistic_regression
38,2025-12-31,0.20621,Low,logistic_regression
39,2025-12-31,0.63803,Medium,logistic_regression
40,2025-12-31,0.25027,Low,logistic_regression
41,2025-12-31,0.40403,Low,logistic_regression
46,2025-12-31,0.05067,Low,logistic_regression
49,2025-12-31,0.29771,Low,logistic_regression
51,2025-12-31,0.72021,High,logistic_regression
52,2025-12-31,0.31957,Low,logistic_regression
53,2025-12-31,0.24461,Low,logistic_regression
54,2025-12-31,0.33921,Low,logistic_regression
56,2025-12-31,0.48804,Medium,logistic_regression
57,2025-12-31,0.29497,Low,logistic_regression
60,2025-12-31,0.38525,Low,logistic_regression
61,2025-12-31,0.5124,Medium,logistic_regression
62,2025-12-31,0.82118,High,logistic_regression
63,2025-12-31,0.28119,Low,logistic_regression
68,2025-12-31,0.58541,Medium,logistic_regression
70,2025-12-31,0.30721,Low,logistic_regression
72,2025-12-31,0.72623,High,logistic_regression
73,2025-12-31,0.52596,Medium,logistic_regression
74,2025-12-31,0.61471,Medium,logistic_regression
75,2025-12-31,0.87331,High,logistic_regression
76,2025-12-31,0.10291,Low,logistic_regression
77,2025-12-31,0.07629,Low,logistic_regression
78,2025-12-31,0.43366,Low,logistic_regression
79,2025-12-31,0.49328,Medium,logistic_regression
80,2025-12-31,0.39533,Low,logistic_regression
81,2025-12-31,0.88187,High,logistic_regression
83,2025-12-31,0.03647,Low,logistic_regression
84,2025-12-31,0.05209,Low,logistic_regression
85,2025-12-31,0.54909,Medium,logistic_regression
86,2025-12-31,0.16247,Low,logistic_regression
88,2025-12-31,0.61281,Medium,logistic_regression
91,2025-12-31,0.68494,High,logistic_regression
